Fecha de Suscripción,Usuario Libre,Suministrador,Link de Descarga
37711,UNIVERSIDAD DE LIMA,ENERSUR,ENE_UNI_2003331_0_100.pdf
38195,QUIMPAC S.A.,ENERSUR,ENE_QUI_2004727_0_124.pdf
38625,EMPRESA MINERA LOS QUENUALES S.A.,ENERSUR,ENE_EMP_2005930_0_154.pdf
39111,MINERA BATEAS S.A.C.,ENERSUR,ENE_MIN_2007129_0_191.pdf
39167,COMPAÑÍA MINERA SAN JUAN (PERÚ) S.A.,ENERSUR,ENE_COM_2007326_0_195.pdf
39202,COMPAÑÍA MINERA RAURA S.A.,ENERSUR,ENE_COM_2007430_0_197.pdf
39224,MINERA BATEAS S.A.,ENERSUR,ENE_MIN_2007522_ 1_202.pdf
39323,PAPELERA NACIONAL S.A.,ENERSUR,ENE_PAP_2007829_0_210.pdf
39323,PERUBAR S.A.,ENERSUR,ENE_PER_2007829_0_211.pdf
39323,PANASA,ENERSUR,ENE_PAN_2007829_0_212.pdf
39323,QUIMPAC S.A.,ENERSUR,ENE_QUI_2007829_1_213.pdf
39373,COMPAÑÍA MINERA SAN JUAN S.A. - PERÚ (Ex Concentradora de Minerales Fortuna S.A.C.),ENERSUR,ENE_COM_20071018_ 1_222.pdf
39556,EMPRESA MINERA LOS QUENUALES S.A.,ENERSUR,ENE_EMP_2008418_ 1_252.pdf
39561,UNIVERSIDAD DE LIMA,ENERSUR,ENE_UNI_2008423_0_253.pdf
39561,UNIVERSIDAD DE LIMA,ENERSUR,ENE_UNI_2008423_0_254.pdf
39561,UNIVERSIDAD DE LIMA,ENERSUR,ENE_UNI_2008423_1_255.pdf
39563,XSTRATA TINTAYA S.A.,ENERSUR,ENE_XST_2008425_0_256.pdf
39563,MINERA TINTAYA (TINTAYA 138),ENERSUR,ENE_MIN_2008425_0_257.pdf
39619,MANUFACTURA DE METALES Y ALUMINIO RECORD S.A.,ENERSUR,ENE_MAN_2008620_0_262.pdf
39780,XSTRATA TINTAYA S.A.,ENERSUR,ENE_XST_20081128_ 1_271.pdf
39805,PERUBAR S.A.,ENERSUR,ENE_PER_20081223_ 1_274.pdf
39853,COMPAÑÍA MINERA SAN JUAN (PERÚ) S.A.,ENERSUR,ENE_COM_200929_2_281.pdf
39871,XSTRATA TINTAYA S.A.,ENERSUR,ENE_XST_2009227_ 2_282.pdf
39895,EMPRESA MINERA LOS QUENUALES S.A.,ENERSUR,ENE_EMP_2009323_ 2_287.pdf
39961,UNIVERSIDAD DE LIMA,ENERSUR,ENE_UNI_2009528_ 1_295.pdf
40151,EMPRESA DE GENERACIÓN HUANZA S.A.,ENERSUR,ENE_EMP_2009124_0_326.pdf
40242,EMPRESA MINERA LOS QUENUALES S.A.,ENERSUR,ENE_EMP_201035_ 3_342.pdf
40380,EMPRESA DE GENERACIÓN HUANZA S.A.,ENERSUR,ENE_EMP_2010721_2_365.pdf
